timestamp,expiry,strike,ce_ltp,ce_oi,ce_volume,ce_iv,ce_change_oi,pe_ltp,pe_oi,pe_volume,pe_iv,pe_change_oi,pcr
2026-01-09 10:52:23,14-Jan-2026,50500,550,100000,50000,15.5,5000,1,120000,45000,16.2,-3000,1.2
2026-01-09 10:52:23,14-Jan-2026,50600,450,100000,50000,15.5,5000,1,120000,45000,16.2,-3000,1.2
2026-01-09 10:52:23,14-Jan-2026,50700,350,100000,50000,15.5,5000,1,120000,45000,16.2,-3000,1.2
2026-01-09 10:52:23,14-Jan-2026,50800,250,100000,50000,15.5,5000,1,120000,45000,16.2,-3000,1.2
2026-01-09 10:52:23,14-Jan-2026,50900,150,100000,50000,15.5,5000,1,120000,45000,16.2,-3000,1.2
2026-01-09 10:52:23,14-Jan-2026,51000,50,100000,50000,15.5,5000,50,120000,45000,16.2,-3000,1.2
2026-01-09 10:52:23,14-Jan-2026,51100,1,100000,50000,15.5,5000,150,120000,45000,16.2,-3000,1.2
2026-01-09 10:52:23,14-Jan-2026,51200,1,100000,50000,15.5,5000,250,120000,45000,16.2,-3000,1.2
2026-01-09 10:52:23,14-Jan-2026,51300,1,100000,50000,15.5,5000,350,120000,45000,16.2,-3000,1.2
2026-01-09 10:52:23,14-Jan-2026,51400,1,100000,50000,15.5,5000,450,120000,45000,16.2,-3000,1.2
2026-01-09 10:52:23,14-Jan-2026,51500,1,100000,50000,15.5,5000,550,120000,45000,16.2,-3000,1.2
2026-01-09 15:35:18,14-Jan-2026,50500,550,100000,50000,15.5,5000,1,120000,45000,16.2,-3000,1.2
2026-01-09 15:35:18,14-Jan-2026,50600,450,100000,50000,15.5,5000,1,120000,45000,16.2,-3000,1.2
2026-01-09 15:35:18,14-Jan-2026,50700,350,100000,50000,15.5,5000,1,120000,45000,16.2,-3000,1.2
2026-01-09 15:35:18,14-Jan-2026,50800,250,100000,50000,15.5,5000,1,120000,45000,16.2,-3000,1.2
2026-01-09 15:35:18,14-Jan-2026,50900,150,100000,50000,15.5,5000,1,120000,45000,16.2,-3000,1.2
2026-01-09 15:35:18,14-Jan-2026,51000,50,100000,50000,15.5,5000,50,120000,45000,16.2,-3000,1.2
2026-01-09 15:35:18,14-Jan-2026,51100,1,100000,50000,15.5,5000,150,120000,45000,16.2,-3000,1.2
2026-01-09 15:35:18,14-Jan-2026,51200,1,100000,50000,15.5,5000,250,120000,45000,16.2,-3000,1.2
2026-01-09 15:35:18,14-Jan-2026,51300,1,100000,50000,15.5,5000,350,120000,45000,16.2,-3000,1.2
2026-01-09 15:35:18,14-Jan-2026,51400,1,100000,50000,15.5,5000,450,120000,45000,16.2,-3000,1.2
2026-01-09 15:35:18,14-Jan-2026,51500,1,100000,50000,15.5,5000,550,120000,45000,16.2,-3000,1.2
