symbol,scan_date,category,scan_close,entry_min,entry_max,target,stop_loss,rsi,vol_mult,delivery_pct,del_mult,status,entry_date,entry_price,exit_date,exit_price,pnl_pct,result,days_held,reason
SHRIRAMFIN,2026-06-29,HEAVY_DELIVERY,1032.65,1022.3,1043.0,1135.9,970.7,66.84,1.83,69.88,2.61,ACTIVE,2026-06-30,1032.65,,,2.87,,,
MARUTI,2026-06-29,HEAVY_DELIVERY,13412.0,13277.9,13546.1,14753.2,12607.3,51.34,2.62,73.86,3.32,ACTIVE,2026-06-30,13546.1,,,6.72,,,
PAYTM,2026-06-29,HEAVY_DELIVERY,1133.1,1121.8,1144.4,1246.4,1065.1,57.37,3.4,68.08,5.07,TARGET_HIT,2026-06-30,1133.8,2026-07-07,1246.4,9.93,WIN,8,Target ₹1246.4 hit
IPCALAB,2026-06-29,HEAVY_DELIVERY,1647.2,1630.7,1663.7,1811.9,1548.4,61.84,1.5,50.3,2.5,TARGET_HIT,2026-06-30,1649.0,2026-07-06,1811.9,9.88,WIN,7,Target ₹1811.9 hit
ADANIGREEN,2026-06-29,HEAVY_DELIVERY,1502.5,1487.5,1517.5,1652.8,1412.3,56.29,1.65,52.1,3.33,ACTIVE,2026-06-30,1504.0,,,3.01,,,
SHREECEM,2026-06-29,HEAVY_DELIVERY,25145.0,24893.5,25396.5,27659.5,23636.3,52.38,2.78,60.27,3.19,ACTIVE,2026-06-30,25280.0,,,5.34,,,
KEI,2026-06-29,SUPER_BREAKOUT,5452.0,5397.5,5506.5,5997.2,5124.9,54.79,4.63,61.01,4.54,SL_HIT,2026-06-30,5390.0,2026-07-07,5124.9,-4.92,LOSS,8,Stop-loss ₹5124.9 hit
IDEA,2026-06-29,HEAVY_DELIVERY,14.43,14.3,14.6,15.9,13.6,56.34,1.84,50.84,3.74,SL_HIT,2026-06-30,14.45,2026-07-15,13.6,-5.88,LOSS,16,Stop-loss ₹13.6 hit
JSWENERGY,2026-06-29,HEAVY_DELIVERY,586.25,580.4,592.1,644.9,551.1,59.12,1.87,58.04,2.2,SL_HIT,2026-06-30,588.0,2026-07-03,551.1,-6.28,LOSS,4,Stop-loss ₹551.1 hit
INDIGO,2026-06-29,HEAVY_DELIVERY,5315.2,5262.0,5368.4,5846.7,4931.7,70.2,1.8,74.13,2.33,ACTIVE,2026-06-30,5320.0,,,1.66,,,
