timestamp,open,high,low,close,volume
2026-09-08T09:20:00+05:30,74.7,77.9,74.7,77.8,17
2026-09-08T09:22:00+05:30,80.2,80.2,80.0,80.0,4
2026-09-08T09:23:00+05:30,80.35,80.35,80.0,80.1,15
2026-09-08T09:24:00+05:30,79.45,79.45,78.6,79.35,17
2026-09-08T09:25:00+05:30,78.0,78.0,76.15,76.15,7
2026-09-08T09:27:00+05:30,77.95,77.95,77.95,77.95,2
2026-09-08T09:28:00+05:30,78.3,79.15,78.3,79.1,6
2026-09-08T09:30:00+05:30,79.2,80.3,79.2,80.3,56
2026-09-08T09:31:00+05:30,80.0,81.35,80.0,80.65,23
2026-09-08T09:33:00+05:30,78.8,78.8,78.0,78.0,14
2026-09-08T09:34:00+05:30,78.0,78.0,78.0,78.0,1
2026-09-08T09:35:00+05:30,77.0,77.0,75.0,75.0,6
2026-09-08T09:36:00+05:30,75.9,75.9,75.9,75.9,1
2026-09-08T09:37:00+05:30,75.55,76.35,75.55,76.35,2
2026-09-08T09:38:00+05:30,74.85,75.7,74.85,75.5,4
2026-09-08T09:39:00+05:30,74.65,75.4,74.25,75.4,8
2026-09-08T09:40:00+05:30,75.95,76.75,75.95,76.75,2
2026-09-08T09:44:00+05:30,79.1,79.1,78.5,78.5,6
2026-09-08T09:45:00+05:30,78.5,78.5,78.45,78.45,2
2026-09-08T09:47:00+05:30,79.0,79.0,79.0,79.0,1
2026-09-08T09:48:00+05:30,79.0,79.0,78.5,78.5,2
2026-09-08T09:51:00+05:30,75.7,76.55,74.25,76.55,55
2026-09-08T09:53:00+05:30,75.55,76.9,75.55,76.9,12
2026-09-08T09:55:00+05:30,78.0,78.75,78.0,78.75,6
2026-09-08T09:57:00+05:30,78.85,78.85,78.7,78.7,2
2026-09-08T09:59:00+05:30,78.7,78.7,78.7,78.7,6
2026-09-08T10:00:00+05:30,77.7,77.7,77.7,77.7,1
2026-09-08T10:01:00+05:30,77.7,77.7,77.7,77.7,1
2026-09-08T10:04:00+05:30,78.65,78.65,78.35,78.35,2
2026-09-08T10:05:00+05:30,78.35,78.7,78.3,78.3,3
2026-09-08T10:07:00+05:30,77.25,77.25,76.0,76.0,3
2026-09-08T10:09:00+05:30,75.05,75.05,73.55,73.55,11
2026-09-08T10:10:00+05:30,75.2,75.2,75.2,75.2,1
2026-09-08T10:11:00+05:30,75.3,75.3,75.3,75.3,1
2026-09-08T10:12:00+05:30,75.15,75.15,73.0,73.0,7
2026-09-08T10:13:00+05:30,70.3,70.3,70.3,70.3,1
2026-09-08T10:14:00+05:30,69.25,69.25,69.25,69.25,1
2026-09-08T10:15:00+05:30,66.55,66.55,66.55,66.55,1
2026-09-08T10:16:00+05:30,67.75,67.75,66.5,66.5,2
2026-09-08T10:19:00+05:30,69.1,69.1,69.1,69.1,1
2026-09-08T10:21:00+05:30,68.65,68.65,68.65,68.65,1
2026-09-08T10:25:00+05:30,72.95,72.95,72.95,72.95,2
2026-09-08T10:26:00+05:30,72.55,72.55,72.55,72.55,2
2026-09-08T10:31:00+05:30,73.25,73.7,73.25,73.7,10
2026-09-08T10:34:00+05:30,73.05,73.05,73.05,73.05,1
2026-09-08T10:35:00+05:30,71.45,71.45,71.35,71.4,3
2026-09-08T10:39:00+05:30,73.5,74.9,73.5,74.9,3
2026-09-08T10:41:00+05:30,72.3,72.3,72.3,72.3,1
2026-09-08T10:42:00+05:30,73.55,73.7,73.4,73.4,10
2026-09-08T10:43:00+05:30,72.55,72.55,71.7,72.5,10
2026-09-08T10:44:00+05:30,73.8,74.5,73.8,74.5,10
2026-09-08T10:45:00+05:30,73.35,73.35,72.25,72.25,7
2026-09-08T10:46:00+05:30,70.95,70.95,70.95,70.95,1
2026-09-08T10:47:00+05:30,69.65,70.3,69.65,70.3,4
2026-09-08T10:48:00+05:30,69.45,69.45,68.25,68.25,4
2026-09-08T10:49:00+05:30,69.6,69.6,69.6,69.6,1
2026-09-08T10:51:00+05:30,71.0,71.0,71.0,71.0,1
