entry_time,exit_time,signal_type,strike,entry_price,exit_price,quantity,pnl,pnl_pct,exit_reason,max_profit_pct,max_loss_pct,duration_minutes,hit_breakeven,trailing_activated
2026-01-27 13:30:00+05:30,2026-01-27 13:39:00+05:30,BUY_CE,81800,434.28,325.39,10,-1108.97,-25.08,stoploss,4.74,-28.36,9,False,False
2026-01-27 13:32:00+05:30,2026-01-27 13:38:00+05:30,BUY_CE,81800,448.0,335.66,10,-1143.35,-25.08,stoploss,0.2,-25.14,6,False,False
2026-01-27 13:36:00+05:30,2026-01-27 14:45:00+05:30,BUY_PE,81500,343.84,257.62,10,-882.19,-25.07,stoploss,37.85,-25.3,69,False,False
2026-01-27 13:37:00+05:30,2026-01-27 14:49:00+05:30,BUY_PE,81500,338.84,253.87,10,-869.64,-25.07,stoploss,39.89,-25.1,72,False,False
2026-01-27 13:38:00+05:30,2026-01-27 14:40:00+05:30,BUY_PE,81400,342.44,256.57,10,-878.67,-25.07,stoploss,24.55,-28.78,62,False,False
2026-01-27 13:39:00+05:30,2026-01-27 14:38:00+05:30,BUY_PE,81300,328.68,246.26,10,-844.16,-25.07,stoploss,15.81,-25.57,59,False,False
2026-01-27 13:40:00+05:30,2026-01-27 14:39:00+05:30,BUY_PE,81300,319.87,239.66,10,-822.07,-25.07,stoploss,19.0,-29.52,59,False,False
2026-01-27 13:42:00+05:30,2026-01-27 14:39:00+05:30,BUY_PE,81300,319.37,239.29,10,-820.82,-25.08,stoploss,19.19,-29.41,57,False,False
2026-01-27 13:43:00+05:30,2026-01-27 14:39:00+05:30,BUY_PE,81300,324.47,243.11,10,-833.62,-25.08,stoploss,17.31,-30.52,56,False,False
2026-01-27 13:44:00+05:30,2026-01-27 14:39:00+05:30,BUY_PE,81400,355.35,266.25,10,-911.05,-25.08,stoploss,20.02,-27.12,55,False,False
2026-01-27 14:04:00+05:30,2026-01-27 14:38:00+05:30,BUY_PE,81300,341.54,255.9,10,-876.41,-25.07,stoploss,11.45,-28.37,34,False,False
2026-01-27 14:05:00+05:30,2026-01-27 14:36:00+05:30,BUY_PE,81200,316.07,236.81,10,-812.53,-25.08,stoploss,6.77,-25.4,31,False,False
2026-01-27 14:06:00+05:30,2026-01-27 14:36:00+05:30,BUY_PE,81200,316.92,237.45,10,-814.67,-25.08,stoploss,0.0,-25.6,30,False,False
2026-01-27 14:12:00+05:30,2026-01-27 15:20:00+05:30,BUY_CE,81600,418.02,713.08,10,2930.59,70.59,trailing_sl,82.1,-14.5,68,False,True
2026-01-27 14:13:00+05:30,2026-01-27 15:20:00+05:30,BUY_CE,81600,415.82,713.08,10,2952.61,71.49,trailing_sl,83.06,-14.05,67,False,True
2026-01-27 14:38:00+05:30,2026-01-27 15:25:00+05:30,BUY_CE,81600,454.15,755.64,10,2994.9,66.38,time_exit,67.61,-1.81,47,False,False
2026-01-27 14:39:00+05:30,2026-01-27 15:25:00+05:30,BUY_CE,81700,443.19,683.12,10,2379.23,54.14,time_exit,54.96,-6.84,46,False,False
2026-01-27 14:40:00+05:30,2026-01-27 15:25:00+05:30,BUY_CE,81700,448.65,683.12,10,2324.68,52.26,time_exit,53.07,-7.97,45,False,False
2026-01-27 14:42:00+05:30,2026-01-27 15:25:00+05:30,BUY_CE,81700,451.65,683.12,10,2294.65,51.25,time_exit,52.05,-8.58,43,False,False
2026-01-27 14:45:00+05:30,2026-01-27 15:25:00+05:30,BUY_CE,81700,462.51,683.12,10,2186.04,47.7,time_exit,48.48,-5.98,40,False,False
2026-01-27 14:46:00+05:30,2026-01-27 15:25:00+05:30,BUY_CE,81700,460.66,683.12,10,2204.56,48.29,time_exit,49.08,-5.6,39,False,False
