entry_time,exit_time,symbol,expiry_date,option_type,strike,direction,entry_price,exit_price,quantity,pnl,pnl_percent,exit_reason
2024-08-29 09:45:00+05:30,2024-08-29 12:31:00+05:30,NIFTY,2024-August-29,STRADDLE,25050,SELL,105.30000000000001,142.60000000000002,25,-932.5000000000002,-35.422602089268764,stoploss
2024-07-11 09:45:00+05:30,2024-07-11 12:03:00+05:30,NIFTY,2024-July-11,STRADDLE,24300,SELL,82.5,122.65,25,-1003.7500000000001,-48.66666666666667,stoploss
2024-07-25 09:45:00+05:30,2024-07-25 11:49:00+05:30,NIFTY,2024-July-25,STRADDLE,24400,SELL,166.75,83.30000000000001,25,2086.2499999999995,50.04497751124437,target
2024-06-27 09:45:00+05:30,2024-06-27 13:51:00+05:30,NIFTY,2024-June-27,STRADDLE,23950,SELL,160.5,78.69999999999999,25,2045.0000000000002,50.96573208722742,target
2024-05-23 09:45:00+05:30,2024-05-23 14:11:00+05:30,NIFTY,2024-May-23,STRADDLE,22700,SELL,149.25,204.64999999999998,25,-1384.9999999999995,-37.11892797319932,stoploss
2024-05-30 09:45:00+05:30,2024-05-30 12:47:00+05:30,NIFTY,2024-May-30,STRADDLE,22600,SELL,160.6,79.2,25,2034.9999999999998,50.68493150684931,target
2024-11-14 09:45:00+05:30,2024-11-14 13:01:00+05:30,NIFTY,2024-November-14,STRADDLE,23600,SELL,147.25,73.35000000000001,25,1847.4999999999998,50.18675721561969,target
2024-11-21 09:45:00+05:30,2024-11-21 13:50:00+05:30,NIFTY,2024-November-21,STRADDLE,23400,SELL,140.1,69.44999999999999,25,1766.2500000000002,50.428265524625274,target
2024-11-28 09:45:00+05:30,2024-11-28 14:12:00+05:30,NIFTY,2024-November-28,STRADDLE,24150,SELL,175.25,238.2,25,-1573.7499999999998,-35.92011412268188,stoploss
2024-10-10 09:45:00+05:30,2024-10-10 12:22:00+05:30,NIFTY,2024-October-10,STRADDLE,25050,SELL,128.75,63.55,25,1630.0,50.64077669902913,target
2024-10-24 09:45:00+05:30,2024-10-24 10:49:00+05:30,NIFTY,2024-October-24,STRADDLE,24400,SELL,116.4,57.95,25,1461.25,50.2147766323024,target
2024-09-12 09:45:00+05:30,2024-09-12 11:25:00+05:30,NIFTY,2024-September-12,STRADDLE,25200,SELL,188.05,270.75,25,-2067.4999999999995,-43.977665514490816,stoploss
2024-09-19 09:45:00+05:30,2024-09-19 10:39:00+05:30,NIFTY,2024-September-19,STRADDLE,25500,SELL,149.8,74.4,25,1885.0000000000002,50.33377837116155,target
