timestamp,open,high,low,close,volume
2026-02-11T09:15:00+05:30,471.0,549.4,445.0,452.75,1134
2026-02-11T09:16:00+05:30,449.05,452.25,436.15,445.2,897
2026-02-11T09:17:00+05:30,442.4,443.2,429.6,436.5,1002
2026-02-11T09:18:00+05:30,436.55,440.5,422.6,435.0,2752
2026-02-11T09:19:00+05:30,434.8,443.7,432.75,439.95,553
2026-02-11T09:20:00+05:30,440.05,453.0,436.25,451.25,867
2026-02-11T09:21:00+05:30,451.5,451.65,441.5,442.65,498
2026-02-11T09:22:00+05:30,442.4,452.0,440.9,450.75,1049
2026-02-11T09:23:00+05:30,450.75,455.0,449.0,453.35,450
2026-02-11T09:24:00+05:30,453.0,459.7,447.55,458.35,1620
2026-02-11T09:25:00+05:30,458.8,466.2,454.0,464.55,813
2026-02-11T09:26:00+05:30,462.6,465.0,456.0,459.8,400
2026-02-11T09:27:00+05:30,460.35,469.35,458.95,462.4,472
2026-02-11T09:28:00+05:30,462.5,467.0,460.2,465.1,459
2026-02-11T09:29:00+05:30,464.1,466.9,462.0,463.05,210
2026-02-11T09:30:00+05:30,461.0,475.25,456.95,475.25,1246
2026-02-11T09:31:00+05:30,476.4,480.0,468.95,474.0,896
2026-02-11T09:32:00+05:30,473.4,483.0,470.6,480.0,699
2026-02-11T09:33:00+05:30,480.65,494.15,479.7,491.55,1011
2026-02-11T09:34:00+05:30,492.8,496.0,483.5,489.55,620
2026-02-11T09:35:00+05:30,490.65,497.95,483.65,496.6,419
2026-02-11T09:36:00+05:30,497.95,508.95,496.5,497.5,1118
2026-02-11T09:37:00+05:30,497.6,510.0,490.5,506.15,610
2026-02-11T09:38:00+05:30,505.5,519.2,505.5,514.9,1172
2026-02-11T09:39:00+05:30,515.65,525.35,514.9,525.35,1025
2026-02-11T09:40:00+05:30,524.5,528.35,516.05,525.5,924
2026-02-11T09:41:00+05:30,524.0,527.05,509.8,512.3,804
2026-02-11T09:42:00+05:30,512.4,518.65,507.85,514.75,351
2026-02-11T09:43:00+05:30,514.7,523.35,513.0,521.6,271
2026-02-11T09:44:00+05:30,520.6,523.0,513.1,521.45,256
