Timestamp,Nifty_Spot,BankNifty_Spot,India_VIX,Nifty_PCR,BankNifty_PCR
2026-08-07 09:16:25,24584.45,57862.10,12.29,0.8653,0.8937
2026-08-07 09:17:31,24594.90,57851.20,12.39,0.8799,0.8888
2026-08-07 09:18:38,24589.85,57832.45,12.39,0.8875,0.8963
2026-08-07 09:19:49,24590.55,57861.80,12.37,0.8877,0.8855
2026-08-07 09:20:54,24597.85,57863.80,12.35,0.8882,0.8878
2026-08-07 09:22:01,24595.90,57864.00,12.37,0.8925,0.8898
2026-08-07 09:23:05,24605.85,57888.00,12.40,0.8970,0.8890
2026-08-07 09:24:12,24617.45,57893.70,12.43,0.9021,0.8886
2026-08-07 09:25:17,24604.95,57857.70,12.42,0.9126,0.8887
2026-08-07 09:26:22,24613.40,57886.25,12.46,0.9212,0.8891
2026-08-07 09:27:27,24606.20,57877.20,12.45,0.9244,0.8871
2026-08-07 09:28:36,24605.55,57887.20,12.44,2.1012,0.8869
2026-08-07 09:30:40,24598.45,57887.80,12.40,0.0000,0.2812
2026-08-07 09:32:51,24611.35,57899.45,12.43,0.0000,0.2795
2026-08-07 09:34:39,24596.40,57884.95,12.45,0.0299,1.1971
2026-08-07 09:36:29,24605.05,57897.10,12.47,0.0000,0.0000
2026-08-07 09:38:37,24607.65,57892.25,12.47,0.0000,0.0000
2026-08-07 09:40:57,24607.45,57875.05,12.46,0.9353,0.8811
2026-08-07 09:42:03,24600.40,57862.15,12.44,0.9350,0.8811
2026-08-07 09:43:09,24605.85,57867.80,12.45,0.9367,0.8806
2026-08-07 09:44:15,24609.35,57884.00,12.46,0.9392,0.8802
2026-08-07 09:45:22,24614.60,57888.30,12.45,0.9463,0.8797
2026-08-07 09:46:29,24607.05,57883.20,12.44,0.9465,0.8790
2026-08-07 09:47:34,24603.95,57867.85,12.51,0.9485,0.8757
2026-08-07 09:48:40,24608.75,57872.75,12.44,0.9488,0.8783
2026-08-07 09:49:46,24609.35,57869.90,12.46,0.9477,0.8779
2026-08-07 09:50:53,24616.35,57891.70,12.45,0.9511,0.8784
