equity
100000.0
100230.49875
99123.4775
99351.47374999999
97551.91374999999
97254.78749999999
97057.76125
96488.7775
98087.79375
99751.875
101278.5675
100117.32125000001
101780.15125000001
100459.2075
99027.83125
101480.56125
100105.76875
98761.00625
101233.75625
99972.05375
102321.58
104653.58875
107008.12
105762.79375
108088.71125
106875.8075
109189.2125
108011.45375
107744.23875
107851.0
107991.545
107611.7175
107818.57875
