entry_time,exit_time,signal_type,strike,entry_price,exit_price,quantity,pnl,pnl_pct,exit_reason,max_profit,max_loss
2026-01-28 10:37:00+05:30,2026-01-28 15:15:00+05:30,BUY_CE,25350,210.00979999999998,220.02975,25,230.49875000000057,4.771182106739793,time_exit,16.185054221279206,-25.908219521184243
2026-01-28 10:48:00+05:30,2026-01-28 15:15:00+05:30,BUY_PE,25200,187.18699999999998,143.70615,25,-1107.0212499999993,-23.228562880969285,time_exit,14.324178495301501,-25.90297403131628
2026-01-28 10:49:00+05:30,2026-01-28 15:15:00+05:30,BUY_CE,25350,210.10989999999998,220.02975,25,227.99625000000063,4.721267298685129,time_exit,16.12970164661447,-25.943518130273723
2026-01-28 11:52:00+05:30,2026-01-28 13:48:00+05:30,BUY_CE,25350,226.82659999999996,155.6442,25,-1799.5599999999986,-31.381857330665785,stoploss,2.104426905839103,-31.313170501166955
2026-01-28 11:53:00+05:30,2026-01-28 15:15:00+05:30,BUY_PE,25250,173.07289999999998,161.98785,25,-297.1262499999992,-6.404844432606126,time_exit,37.832092719310786,-9.691234156242814
2026-01-28 12:09:00+05:30,2026-01-28 15:15:00+05:30,BUY_PE,25250,169.06889999999999,161.98785,25,-197.0262499999994,-4.188262891637656,time_exit,41.096322268613584,-7.552483040937733
2026-01-28 13:20:00+05:30,2026-01-28 15:15:00+05:30,BUY_PE,25200,165.66549999999998,143.70615,25,-568.9837499999993,-13.25523419179007,time_exit,29.175959991669977,-16.277076397922315
2026-01-28 13:55:00+05:30,2026-01-28 15:15:00+05:30,BUY_CE,25250,212.26205,277.0227,25,1599.01625,30.509763756639497,time_exit,32.901759876529994,-3.633268405727721
2026-01-28 14:16:00+05:30,2026-01-28 15:15:00+05:30,BUY_CE,25250,209.65944999999996,277.0227,25,1664.0812500000006,32.12984198899693,time_exit,34.55153106621241,-2.3177824801123696
2026-01-28 14:19:00+05:30,2026-01-28 15:15:00+05:30,BUY_CE,25300,185.18499999999997,247.05270000000002,25,1526.692500000001,33.408591408591434,time_exit,36.0801360801361,-2.097902097902078
2026-01-28 14:22:00+05:30,2026-01-28 15:15:00+05:30,BUY_PE,25150,172.77259999999998,127.12275,25,-1161.2462499999997,-26.421926856457556,time_exit,0.0,-28.866035470902208
