timestamp,open,high,low,close,volume
2026-01-22T09:15:00+05:30,9.75,9.75,4.65,6.35,4667
2026-01-22T09:16:00+05:30,6.2,6.55,5.85,6.25,5375
2026-01-22T09:17:00+05:30,6.3,6.35,6.0,6.15,2414
2026-01-22T09:18:00+05:30,6.1,6.2,5.9,6.05,3126
2026-01-22T09:19:00+05:30,6.0,6.3,6.0,6.1,2408
2026-01-22T09:20:00+05:30,6.15,6.35,6.15,6.2,1124
2026-01-22T09:21:00+05:30,6.15,6.15,5.95,5.95,653
2026-01-22T09:22:00+05:30,5.95,6.0,5.75,5.9,1372
2026-01-22T09:23:00+05:30,5.9,5.9,5.45,5.5,1823
2026-01-22T09:24:00+05:30,5.55,5.75,5.55,5.65,1289
2026-01-22T09:25:00+05:30,5.7,5.9,5.65,5.75,1900
2026-01-22T09:26:00+05:30,5.75,5.8,5.5,5.55,1126
2026-01-22T09:27:00+05:30,5.55,5.6,5.5,5.5,1062
2026-01-22T09:28:00+05:30,5.5,5.55,5.35,5.4,850
2026-01-22T09:29:00+05:30,5.45,5.55,5.3,5.55,1734
2026-01-22T09:30:00+05:30,5.55,6.0,5.55,5.95,2055
2026-01-22T09:31:00+05:30,5.95,6.75,5.95,6.7,2149
2026-01-22T09:32:00+05:30,6.7,7.8,6.7,7.75,2301
2026-01-22T09:33:00+05:30,7.7,11.05,7.7,11.05,2629
2026-01-22T09:34:00+05:30,11.15,16.9,11.1,16.9,4481
2026-01-22T09:35:00+05:30,16.95,20.1,16.95,19.3,2746
2026-01-22T09:36:00+05:30,19.3,20.45,17.5,18.65,3312
2026-01-22T09:37:00+05:30,18.6,23.1,18.6,22.0,1992
2026-01-22T09:38:00+05:30,22.05,23.65,21.9,22.65,2599
2026-01-22T09:39:00+05:30,22.75,23.7,19.8,19.8,2301
2026-01-22T09:40:00+05:30,19.75,19.75,15.45,15.45,2037
2026-01-22T09:41:00+05:30,15.4,17.0,14.85,14.85,1257
2026-01-22T09:42:00+05:30,14.95,18.4,14.65,18.4,2311
2026-01-22T09:43:00+05:30,18.4,18.85,15.6,16.0,2651
2026-01-22T09:44:00+05:30,15.85,16.95,14.95,16.3,2582
2026-01-22T09:45:00+05:30,16.3,16.55,15.1,15.15,1338
2026-01-22T09:46:00+05:30,15.15,15.35,14.25,14.4,1233
2026-01-22T09:47:00+05:30,14.4,14.85,13.95,14.85,1041
2026-01-22T09:48:00+05:30,14.8,14.85,14.3,14.4,1205
2026-01-22T09:49:00+05:30,14.45,14.7,13.4,13.65,1391
2026-01-22T09:50:00+05:30,13.65,13.7,13.0,13.05,1002
2026-01-22T09:51:00+05:30,13.1,13.4,12.85,13.05,524
2026-01-22T09:52:00+05:30,13.05,13.75,12.95,13.75,332
2026-01-22T09:53:00+05:30,13.9,14.2,12.8,12.8,1128
2026-01-22T09:54:00+05:30,12.8,13.0,11.45,11.45,729
2026-01-22T09:55:00+05:30,11.45,11.75,10.4,10.4,973
2026-01-22T09:56:00+05:30,10.4,10.5,9.95,10.0,1126
2026-01-22T09:57:00+05:30,10.1,10.1,9.1,9.1,886
2026-01-22T09:58:00+05:30,9.15,9.15,8.45,8.5,1178
2026-01-22T09:59:00+05:30,8.55,8.9,8.3,8.35,945
2026-01-22T10:00:00+05:30,8.4,8.45,7.45,7.55,1330
2026-01-22T10:01:00+05:30,7.6,7.65,7.1,7.4,1220
2026-01-22T10:02:00+05:30,7.5,7.8,6.95,6.95,1553
2026-01-22T10:03:00+05:30,6.9,6.95,5.95,6.05,2299
2026-01-22T10:04:00+05:30,6.1,7.45,5.95,7.1,3231
2026-01-22T10:05:00+05:30,7.1,7.6,7.0,7.1,706
2026-01-22T10:06:00+05:30,7.15,7.3,6.35,6.45,1238
2026-01-22T10:07:00+05:30,6.4,6.65,5.95,6.6,856
2026-01-22T10:08:00+05:30,6.65,7.0,6.6,7.0,372
2026-01-22T10:09:00+05:30,6.95,7.7,6.95,7.5,506
2026-01-22T10:10:00+05:30,7.6,7.75,7.25,7.35,699
2026-01-22T10:11:00+05:30,7.25,7.25,6.85,7.0,386
2026-01-22T10:12:00+05:30,7.0,7.55,6.85,6.85,1035
2026-01-22T10:13:00+05:30,6.85,7.15,6.8,7.05,855
2026-01-22T10:14:00+05:30,7.0,7.3,6.7,7.3,938
2026-01-22T10:15:00+05:30,7.4,7.7,7.3,7.55,657
2026-01-22T10:16:00+05:30,7.65,8.2,7.55,8.15,444
2026-01-22T10:17:00+05:30,7.9,8.85,7.9,8.4,599
2026-01-22T10:18:00+05:30,8.55,8.9,8.35,8.35,404
2026-01-22T10:19:00+05:30,8.25,8.3,7.3,7.5,1903
2026-01-22T10:20:00+05:30,7.4,7.95,7.4,7.85,1756
2026-01-22T10:21:00+05:30,7.9,8.35,7.8,8.0,1269
2026-01-22T10:22:00+05:30,7.95,8.0,7.4,7.4,794
2026-01-22T10:23:00+05:30,7.5,7.7,6.7,6.7,1769
2026-01-22T10:24:00+05:30,6.65,6.8,6.3,6.3,1184
2026-01-22T10:25:00+05:30,6.3,6.4,6.0,6.0,1481
2026-01-22T10:26:00+05:30,6.05,6.05,5.55,5.65,1863
2026-01-22T10:27:00+05:30,5.55,5.8,5.45,5.65,2408
2026-01-22T10:28:00+05:30,5.6,5.7,5.15,5.35,1669
2026-01-22T10:29:00+05:30,5.35,5.35,4.95,5.1,2724
2026-01-22T10:30:00+05:30,5.1,6.0,5.1,5.85,2092
2026-01-22T10:31:00+05:30,5.8,6.15,5.7,6.15,2455
2026-01-22T10:32:00+05:30,6.1,6.45,5.6,5.6,2524
2026-01-22T10:33:00+05:30,5.6,5.95,5.5,5.95,1633
2026-01-22T10:34:00+05:30,5.95,5.95,5.55,5.75,1053
2026-01-22T10:35:00+05:30,5.7,5.75,5.3,5.4,482
2026-01-22T10:36:00+05:30,5.4,5.55,5.35,5.55,977
2026-01-22T10:37:00+05:30,5.55,5.65,5.45,5.45,586
2026-01-22T10:38:00+05:30,5.45,5.45,5.3,5.35,354
2026-01-22T10:39:00+05:30,5.35,5.45,5.25,5.25,500
2026-01-22T10:40:00+05:30,5.25,5.35,5.2,5.2,279
2026-01-22T10:41:00+05:30,5.25,5.35,5.25,5.35,188
2026-01-22T10:42:00+05:30,5.45,5.45,5.35,5.4,185
2026-01-22T10:43:00+05:30,5.35,5.4,5.25,5.25,93
2026-01-22T10:44:00+05:30,5.25,5.3,5.2,5.25,244
2026-01-22T10:45:00+05:30,5.25,5.3,5.15,5.25,284
2026-01-22T10:46:00+05:30,5.25,5.25,5.2,5.25,147
2026-01-22T10:47:00+05:30,5.25,5.35,5.15,5.35,398
2026-01-22T10:48:00+05:30,5.35,5.5,5.35,5.4,324
2026-01-22T10:49:00+05:30,5.45,5.6,5.45,5.5,247
