timestamp,open,high,low,close,volume
2026-02-17T09:15:00+05:30,138.5,142.75,114.9,119.5,4299
2026-02-17T09:16:00+05:30,119.9,128.0,116.85,118.25,2801
2026-02-17T09:17:00+05:30,118.5,126.0,117.65,122.35,1888
2026-02-17T09:18:00+05:30,122.45,123.8,116.3,117.6,1539
2026-02-17T09:19:00+05:30,116.9,121.95,112.75,114.65,1186
2026-02-17T09:20:00+05:30,117.25,131.1,116.25,131.1,2630
2026-02-17T09:21:00+05:30,130.2,131.1,122.5,125.45,1650
2026-02-17T09:22:00+05:30,125.75,125.75,112.65,116.3,1371
2026-02-17T09:23:00+05:30,117.0,123.55,112.15,121.8,1210
2026-02-17T09:24:00+05:30,122.7,130.35,121.05,127.0,1513
2026-02-17T09:25:00+05:30,127.25,130.75,120.15,122.45,1343
2026-02-17T09:26:00+05:30,120.55,123.15,115.0,120.75,879
2026-02-17T09:27:00+05:30,120.75,125.55,117.25,125.55,966
2026-02-17T09:28:00+05:30,125.3,125.3,118.1,118.1,700
2026-02-17T09:29:00+05:30,118.1,120.85,117.0,118.15,559
2026-02-17T09:30:00+05:30,119.05,120.9,114.9,115.15,1036
2026-02-17T09:31:00+05:30,114.05,119.55,113.7,117.0,927
2026-02-17T09:32:00+05:30,117.2,119.5,104.15,104.85,1446
2026-02-17T09:33:00+05:30,105.55,107.45,98.2,99.6,1496
2026-02-17T09:34:00+05:30,100.1,105.45,100.0,101.45,1181
2026-02-17T09:35:00+05:30,100.7,105.65,100.7,104.7,574
2026-02-17T09:36:00+05:30,106.1,112.25,104.0,112.25,733
2026-02-17T09:37:00+05:30,113.75,114.2,105.2,110.45,1057
2026-02-17T09:38:00+05:30,110.1,110.4,101.85,101.85,529
2026-02-17T09:39:00+05:30,101.2,104.15,100.15,101.85,637
2026-02-17T09:40:00+05:30,102.05,105.7,102.05,103.0,636
2026-02-17T09:41:00+05:30,103.05,105.4,101.15,102.75,570
2026-02-17T09:42:00+05:30,102.3,103.6,92.5,95.9,1583
2026-02-17T09:43:00+05:30,95.5,96.0,89.4,90.05,982
2026-02-17T09:44:00+05:30,89.65,91.3,85.2,87.5,1389
2026-02-17T09:45:00+05:30,87.55,89.9,86.35,87.55,729
2026-02-17T09:46:00+05:30,87.65,91.65,87.65,89.5,697
2026-02-17T09:47:00+05:30,89.5,93.35,88.45,92.1,810
2026-02-17T09:48:00+05:30,92.1,92.45,89.65,91.0,428
2026-02-17T09:49:00+05:30,91.25,91.55,87.6,88.7,376
2026-02-17T09:50:00+05:30,88.65,92.55,87.4,89.1,641
2026-02-17T09:51:00+05:30,88.55,89.5,86.5,88.0,463
2026-02-17T09:52:00+05:30,87.7,88.45,84.0,85.8,566
2026-02-17T09:53:00+05:30,85.85,85.85,82.0,82.0,831
2026-02-17T09:54:00+05:30,82.75,85.15,81.6,81.75,481
2026-02-17T09:55:00+05:30,81.55,84.6,80.7,84.6,311
2026-02-17T09:56:00+05:30,84.2,85.9,84.0,85.25,197
2026-02-17T09:57:00+05:30,85.7,86.65,80.3,81.25,365
2026-02-17T09:58:00+05:30,81.45,82.25,78.4,80.85,977
2026-02-17T09:59:00+05:30,80.4,83.25,80.4,82.9,714
2026-02-17T10:00:00+05:30,82.85,84.35,82.85,83.0,346
2026-02-17T10:01:00+05:30,82.55,83.15,81.4,82.9,486
2026-02-17T10:02:00+05:30,82.7,87.0,82.7,85.0,385
2026-02-17T10:03:00+05:30,85.05,85.6,83.75,84.35,401
2026-02-17T10:04:00+05:30,84.35,86.4,84.0,84.55,245
2026-02-17T10:05:00+05:30,84.2,86.05,84.0,85.2,189
2026-02-17T10:06:00+05:30,85.85,86.15,82.4,83.8,353
2026-02-17T10:07:00+05:30,83.8,84.45,82.7,84.0,206
2026-02-17T10:08:00+05:30,83.8,85.8,81.95,82.55,229
2026-02-17T10:09:00+05:30,82.15,83.9,81.0,83.9,231
2026-02-17T10:10:00+05:30,83.75,84.25,82.8,83.75,296
2026-02-17T10:11:00+05:30,83.8,85.1,83.05,83.05,115
2026-02-17T10:12:00+05:30,82.8,82.8,80.55,81.9,439
2026-02-17T10:13:00+05:30,81.5,81.5,78.3,79.0,368
2026-02-17T10:14:00+05:30,78.95,80.7,78.5,79.95,461
2026-02-17T10:15:00+05:30,79.5,82.8,79.0,82.6,242
2026-02-17T10:16:00+05:30,82.5,83.05,80.25,81.35,151
2026-02-17T10:17:00+05:30,81.3,81.7,79.75,79.95,136
2026-02-17T10:18:00+05:30,79.3,79.9,76.7,77.15,389
2026-02-17T10:19:00+05:30,77.15,77.15,73.75,75.25,1448
2026-02-17T10:20:00+05:30,75.2,75.55,73.7,73.95,535
2026-02-17T10:21:00+05:30,74.05,76.45,73.95,76.45,635
2026-02-17T10:22:00+05:30,76.4,76.65,74.85,75.75,314
2026-02-17T10:23:00+05:30,75.7,76.4,75.1,75.3,375
2026-02-17T10:24:00+05:30,75.5,76.15,74.55,74.9,205
2026-02-17T10:25:00+05:30,74.9,75.3,74.35,75.25,96
2026-02-17T10:26:00+05:30,75.15,75.15,71.55,71.7,542
2026-02-17T10:27:00+05:30,72.0,72.5,70.1,70.95,639
2026-02-17T10:28:00+05:30,70.85,71.4,67.0,67.35,887
2026-02-17T10:29:00+05:30,67.3,70.55,67.3,70.2,617
2026-02-17T10:30:00+05:30,69.85,70.95,69.2,69.9,343
2026-02-17T10:31:00+05:30,70.1,71.7,70.0,71.5,646
2026-02-17T10:32:00+05:30,71.6,72.2,70.7,71.9,223
2026-02-17T10:33:00+05:30,71.6,72.5,70.85,71.75,317
2026-02-17T10:34:00+05:30,71.85,73.1,71.85,72.7,443
2026-02-17T10:35:00+05:30,73.0,73.85,71.45,73.4,385
2026-02-17T10:36:00+05:30,72.55,73.6,72.4,73.1,128
2026-02-17T10:37:00+05:30,73.15,74.65,72.6,74.5,242
2026-02-17T10:38:00+05:30,74.1,76.1,74.1,74.85,496
2026-02-17T10:39:00+05:30,75.25,75.95,73.1,75.1,333
2026-02-17T10:40:00+05:30,74.9,75.3,72.65,74.2,262
2026-02-17T10:41:00+05:30,74.1,76.0,73.75,75.55,324
2026-02-17T10:42:00+05:30,75.55,76.45,74.2,76.05,250
2026-02-17T10:43:00+05:30,75.6,84.05,75.6,83.55,787
2026-02-17T10:44:00+05:30,83.5,88.0,82.1,82.45,1559
2026-02-17T10:45:00+05:30,82.2,85.4,81.25,82.3,860
2026-02-17T10:46:00+05:30,81.7,85.8,81.3,85.3,722
2026-02-17T10:47:00+05:30,86.0,90.95,84.5,87.9,760
2026-02-17T10:48:00+05:30,87.0,89.6,83.5,84.4,669
2026-02-17T10:49:00+05:30,84.05,85.15,81.15,85.0,872
2026-02-17T10:50:00+05:30,84.4,87.15,83.8,83.8,388
2026-02-17T10:51:00+05:30,83.5,86.1,83.5,84.15,440
2026-02-17T10:52:00+05:30,84.35,84.8,81.85,81.95,322
2026-02-17T10:53:00+05:30,82.15,85.0,81.8,84.3,468
2026-02-17T10:54:00+05:30,84.3,84.35,81.5,82.0,182
2026-02-17T10:55:00+05:30,81.7,81.7,77.55,80.45,530
2026-02-17T10:56:00+05:30,79.9,81.3,77.5,81.05,290
2026-02-17T10:57:00+05:30,81.4,81.55,79.25,80.3,346
2026-02-17T10:58:00+05:30,80.2,80.2,77.2,78.85,155
2026-02-17T10:59:00+05:30,78.95,79.2,75.6,76.15,387
2026-02-17T11:00:00+05:30,75.75,79.4,75.6,77.65,332
2026-02-17T11:01:00+05:30,77.1,77.1,73.1,74.5,726
2026-02-17T11:02:00+05:30,74.8,78.95,74.8,76.05,553
2026-02-17T11:03:00+05:30,76.2,79.15,75.25,78.6,230
2026-02-17T11:04:00+05:30,77.0,78.6,76.2,76.5,144
2026-02-17T11:05:00+05:30,76.3,78.2,75.75,78.05,176
2026-02-17T11:06:00+05:30,77.95,81.55,77.7,78.9,710
2026-02-17T11:07:00+05:30,79.35,79.7,76.3,76.3,445
2026-02-17T11:08:00+05:30,76.05,76.65,73.55,73.65,264
2026-02-17T11:09:00+05:30,72.9,76.3,72.9,74.15,339
2026-02-17T11:10:00+05:30,73.9,76.55,73.7,75.55,324
2026-02-17T11:11:00+05:30,75.1,76.05,72.1,72.4,146
2026-02-17T11:12:00+05:30,72.35,72.55,70.5,71.8,379
2026-02-17T11:13:00+05:30,71.3,72.4,71.3,72.2,67
2026-02-17T11:14:00+05:30,71.55,72.35,69.95,69.95,150
2026-02-17T11:15:00+05:30,69.65,71.65,69.65,70.0,165
2026-02-17T11:16:00+05:30,69.5,69.6,67.2,69.0,461
2026-02-17T11:17:00+05:30,69.3,69.85,66.2,67.1,273
2026-02-17T11:18:00+05:30,66.8,67.65,65.05,66.55,393
2026-02-17T11:19:00+05:30,66.3,68.35,66.3,67.3,115
2026-02-17T11:20:00+05:30,66.55,67.0,65.75,66.05,234
2026-02-17T11:21:00+05:30,66.0,68.4,66.0,68.35,367
2026-02-17T11:22:00+05:30,68.4,68.4,66.45,68.2,272
2026-02-17T11:23:00+05:30,67.45,67.55,66.35,67.35,518
2026-02-17T11:24:00+05:30,67.35,67.9,66.85,67.4,252
2026-02-17T11:25:00+05:30,67.3,68.85,67.3,68.0,105
2026-02-17T11:26:00+05:30,68.0,68.5,66.65,66.65,61
2026-02-17T11:27:00+05:30,66.35,68.0,65.95,66.75,189
2026-02-17T11:28:00+05:30,66.55,67.65,65.85,66.0,168
