date,open,high,low,close,volume,delivery_qty,delivery_pct
2022-01-03,491.29646236795776,497.5493143187595,480.0561827041428,484.472900390625,341642,,
2022-01-04,484.84509484490206,499.4102859366722,483.7285119755049,486.01129150390625,468302,,
2022-01-05,486.4827458800623,490.27913976902005,479.9321202918846,486.4083251953125,306026,,
2022-01-06,485.83763589992157,485.83763589992157,465.24288422489934,479.2373962402344,675876,,
2022-01-07,476.433522601305,481.3216927016223,469.0888942920331,473.6792907714844,619124,,
2022-01-10,473.43111534299635,480.82538701698746,455.094338098644,470.7016906738281,1246682,,
2022-01-11,471.9423727400821,496.25906702427136,468.96481833793644,491.6686706542969,985962,,
2022-01-12,497.00344607426536,513.1318654426265,488.31891256822473,501.02313232421875,677908,,
2022-01-13,503.0577766723983,520.0546178870956,495.340954937946,515.3898315429688,765724,,
2022-01-14,513.0326338719725,513.0326338719725,494.274017413437,506.95343017578125,328120,,
2022-01-17,511.6430885798376,514.2980624233059,497.6485770923549,501.7923583984375,483006,,
2022-01-18,505.68799013618565,508.66554454326814,487.94672846065214,491.09796142578125,451158,,
2022-01-19,491.79272894573705,498.71554889742447,482.8600658569144,494.1251525878906,342580,,
2022-01-20,494.1251594888131,501.5442386046051,477.8974819263006,480.52764892578125,427694,,
2022-01-21,473.43113471003863,485.26690096209006,460.9998515388669,474.4732666015625,634626,,
2022-01-24,476.8553619024882,476.95458948704925,444.8714581510607,455.0447692871094,755516,,
2022-01-25,455.4417502381052,475.1680477831498,444.1022428845151,471.2475891113281,469474,,
2022-01-27,466.48349909721526,471.09870212617847,452.36492330605097,468.27001953125,639158,,
2022-01-28,468.2700069034575,480.5276109580992,467.5008114675811,473.1829833984375,178852,,
2022-01-31,472.43864070132264,499.08775916007716,472.43864070132264,494.22442626953125,404460,,
2022-02-01,494.2243731585835,499.63357833614225,473.23259225270647,495.0431823730469,419576,,
2022-02-02,495.0432334955011,505.4646740554935,488.8896391479129,502.0901184082031,335604,,
2022-02-03,497.2515805766659,499.9313916296052,482.8848746608375,487.0286560058594,212958,,
2022-02-04,481.86753836211466,497.7478279888785,478.5177897689692,495.2169189453125,211400,,
2022-02-07,486.33386429444215,493.28149092721986,477.82300955359005,481.5449523925781,184304,,
2022-02-08,498.49221369696454,498.49221369696454,464.6225336722579,467.92266845703125,363720,,
2022-02-09,472.4882475663372,495.142486186065,469.4610793605788,484.5721740722656,365870,,
2022-02-10,486.8301390208436,491.8671806075541,484.05110039391667,485.291748046875,244226,,
2022-02-11,480.8750236052352,486.35868009726966,474.05146160877285,481.0238952636719,181812,,
2022-02-14,476.40869517009696,479.01405522180846,453.779294265217,462.2156982421875,409068,,
2022-02-15,462.2156935008395,475.11842886267505,451.59573766424455,470.25506591796875,323488,,
2022-02-16,470.25504671770665,488.318887602439,460.5283818039262,482.04119873046875,179508,,
2022-02-17,488.76559503344896,490.80024520829846,476.11098810441797,485.1180725097656,340812,,
2022-02-18,483.8525683723287,492.48748786205726,477.401200794031,482.8848571777344,233100,,
2022-02-21,482.86005070141505,491.29645446495465,466.4835022192499,484.42327880859375,1221454,,
2022-02-22,476.4334893950153,488.79035171307527,468.71666731444293,476.1605529785156,360688,,
2022-02-23,478.6915161018698,488.31895476476194,466.48355434845143,471.69427490234375,187780,,
2022-02-24,454.07705195261633,478.8900056112293,442.21644798809933,470.379150390625,577870,,
2022-02-25,476.95456433193544,483.85257729314753,460.7269175095028,471.2227783203125,251974,,
2022-02-28,462.26529487385505,481.3712678772296,457.1290259354003,475.9372253417969,329542,,
2022-03-02,471.4461197932236,477.6245513157322,463.35710295356887,471.14837646484375,218100,,
2022-03-03,477.89746205966475,483.8525706211559,469.5106720531987,472.9100646972656,127606,,
2022-03-04,473.9026204420645,478.6418886575996,458.2952661226472,466.0368957519531,446442,,
2022-03-07,461.81865400752946,463.0096878282532,444.8962327310064,447.1542053222656,386276,,
2022-03-08,448.14672278917277,455.51618775235494,439.28851098602,444.077392578125,429466,,
2022-03-09,444.52407842411753,454.9455192802788,439.214100120509,446.0624694824219,392638,,
2022-03-10,456.55831108202756,475.78834864118903,452.9108192994083,460.9253845214844,235958,,
