entry_time,sl_pct,target_pct,total_trades,winners,win_rate,total_pnl,avg_pnl,profit_factor
09:30,30,70,9,6,66.66666666666666,10782.500000000002,1198.0555555555557,3.830052493438321
09:30,30,60,9,6,66.66666666666666,10613.750000000002,1179.3055555555557,3.7857611548556442
09:30,35,70,9,6,66.66666666666666,9946.250000000002,1105.1388888888891,3.1407048695184296
09:30,35,60,9,6,66.66666666666666,9777.500000000002,1086.3888888888891,3.104385256927631
09:30,25,60,9,5,55.55555555555556,9177.500000000002,1019.7222222222224,3.435157545605308
09:30,25,70,9,5,55.55555555555556,9102.500000000002,1011.3888888888891,3.4152570480928697
09:30,30,50,9,6,66.66666666666666,8343.750000000002,927.0833333333335,3.1899606299212606
09:45,20,60,9,5,55.55555555555556,8336.25,926.25,3.6328464271614695
09:45,20,70,9,5,55.55555555555556,8087.5,898.6111111111111,3.5542834583497838
09:30,40,70,9,6,66.66666666666666,7906.250000000001,878.4722222222223,2.182464011964853
09:30,40,60,9,6,66.66666666666666,7737.500000000001,859.7222222222223,2.157225649654141
09:30,35,50,9,6,66.66666666666666,7507.500000000002,834.1666666666669,2.6158192090395485
09:45,25,60,9,5,55.55555555555556,7287.5,809.7222222222222,2.728944246737841
09:30,25,50,9,5,55.55555555555556,7157.500000000002,795.2777777777779,2.8991708126036495
09:45,25,70,9,5,55.55555555555556,7038.75,782.0833333333334,2.669928825622776
09:45,20,50,9,5,55.55555555555556,6613.75,734.8611111111111,3.088827477299646
09:30,20,60,9,4,44.44444444444444,6575.000000000002,730.5555555555558,2.598784194528876
09:45,30,60,9,5,55.55555555555556,6503.75,722.6388888888889,2.301075268817205
10:00,35,60,9,6,66.66666666666666,6477.499999999999,719.7222222222222,2.323627075351213
10:00,30,60,9,6,66.66666666666666,6477.499999999999,719.7222222222222,2.323627075351213
10:00,25,30,9,7,77.77777777777779,6372.5,708.0555555555555,4.602826855123675
09:30,20,70,9,4,44.44444444444444,6335.000000000002,703.8888888888891,2.5404255319148943
09:45,30,70,9,5,55.55555555555556,6255.0,695.0,2.2513128282070523
10:00,40,60,9,6,66.66666666666666,6187.499999999999,687.4999999999999,2.1936339522546415
09:45,35,60,9,5,55.55555555555556,6056.25,672.9166666666666,2.1120036722515496
09:30,30,40,9,6,66.66666666666666,5890.000000000002,654.4444444444447,2.545931758530185
10:00,35,50,9,6,66.66666666666666,5867.499999999999,651.9444444444443,2.1989782886334606
10:00,30,50,9,6,66.66666666666666,5867.499999999999,651.9444444444443,2.1989782886334606
10:00,30,30,9,7,77.77777777777779,5846.25,649.5833333333334,3.5473856209150325
10:00,35,30,9,7,77.77777777777779,5846.25,649.5833333333334,3.5473856209150325
09:45,35,70,9,5,55.55555555555556,5807.5,645.2777777777778,2.0663300436079877
10:00,40,50,9,6,66.66666666666666,5577.499999999999,619.7222222222222,2.075958524234386
09:45,25,50,9,5,55.55555555555556,5565.0,618.3333333333334,2.320284697508897
10:00,40,30,9,7,77.77777777777779,5556.25,617.3611111111111,3.1494197292069632
09:30,40,50,9,6,66.66666666666666,5467.500000000001,607.5000000000001,1.817722938867078
